experiment,sources,positives,positive_prevalence_pct,clean_mean_fold_roc_auc,clean_mean_fold_ap,nonaggressive_mean_roc_auc,nonaggressive_mean_ap,aggressive_mean_roc_auc,aggressive_mean_ap,aggressive_roc_delta_vs_nonagg,aggressive_ap_delta_vs_nonagg,aggressive_ap_retention_pct
pilot,100,6,6.0,0.867,0.537,0.868,0.5502083333333333,0.7617499999999999,0.4735,-0.10625000000000007,-0.07670833333333332,86.05831124574024
scaled,1633,17,1.0410287813839558,0.8729212311262232,0.1973591761220943,0.8704109843216322,0.1947699725595823,0.6717414787814416,0.02258961815469326,-0.19866950554019058,-0.17218035440488905,11.598101010042933
