preprocess_config,mean_roc_auc,mean_ap,mean_roc_auc_delta,mean_ap_delta,mean_roc_auc_retention_pct,mean_ap_retention_pct
none,0.8605989735002911,0.1233622856499901,-0.0022067923704135184,2.1803584815580437e-05,99.74423068809855,100.0176775576441
minimal,0.8605989735002911,0.1233622856499901,-0.0022067923704135184,2.1803584815580437e-05,99.74423068809855,100.0176775576441
noise_aware,0.8630696709376819,0.12384509785111124,0.00026390506697729355,0.0005046157859367132,100.03058684554698,100.40912422060266
aggressive,0.6677389705882353,0.017456820098565293,-0.1950667952824694,-0.10588366196660923,77.39157490613003,14.15335809158011
