noise_condition,preprocess_config,pooled_roc_auc,pooled_average_precision,roc_auc_delta_vs_clean,ap_delta_vs_clean,roc_auc_retention_pct,ap_retention_pct
clean,none,0.8628057658707047,0.12334048206517452,0.0,0.0,100.0,100.0
clean,minimal,0.8628057658707047,0.12334048206517452,0.0,0.0,100.0,100.0
clean,noise_aware,0.8628057658707047,0.12334048206517452,0.0,0.0,100.0,100.0
clean,aggressive,0.6750509609784507,0.017741309726195136,-0.18775480489225393,-0.10559917233897939,78.23904147154369,14.384011987905499
casing,none,0.8628057658707047,0.12334048206517452,0.0,0.0,100.0,100.0
casing,minimal,0.8628057658707047,0.12334048206517452,0.0,0.0,100.0,100.0
casing,noise_aware,0.8628057658707047,0.12334048206517452,0.0,0.0,100.0,100.0
casing,aggressive,0.6750509609784507,0.017741309726195136,-0.18775480489225393,-0.10559917233897939,78.23904147154369,14.384011987905499
punctuation,none,0.8628057658707047,0.12334048206517452,0.0,0.0,100.0,100.0
punctuation,minimal,0.8628057658707047,0.12334048206517452,0.0,0.0,100.0,100.0
punctuation,noise_aware,0.8628057658707047,0.12334048206517452,0.0,0.0,100.0,100.0
punctuation,aggressive,0.6750509609784507,0.017741309726195136,-0.18775480489225393,-0.10559917233897939,78.23904147154369,14.384011987905499
whitespace,none,0.8669918462434478,0.14320066559415068,0.004186080372743151,0.019860183528976158,100.48517065350377,116.10191819947792
whitespace,minimal,0.8669918462434478,0.14320066559415068,0.004186080372743151,0.019860183528976158,100.48517065350377,116.10191819947792
whitespace,noise_aware,0.8669918462434478,0.14320066559415068,0.004186080372743151,0.019860183528976158,100.48517065350377,116.10191819947792
whitespace,aggressive,0.6466584158415841,0.016281864106833813,-0.21614735002912056,-0.10705861795834071,74.94831877821373,13.200746287200571
typo,none,0.8531231799650553,0.11946877949056404,-0.00968258590564941,-0.003871702574610475,98.87777918406952,96.86096364325492
typo,minimal,0.8531231799650553,0.11946877949056404,-0.00968258590564941,-0.003871702574610475,98.87777918406952,96.86096364325492
typo,noise_aware,0.8531231799650553,0.11946877949056404,-0.00968258590564941,-0.003871702574610475,98.87777918406952,96.86096364325492
typo,aggressive,0.6587434478741991,0.016378125523269893,-0.20406231799650554,-0.10696235654190463,76.34898536050288,13.278791560596872
word_deletion,none,0.8610585323238206,0.12572577296665782,-0.0017472335468841083,0.002385290901483303,99.79749398810277,101.93390755536605
word_deletion,minimal,0.8610585323238206,0.12572577296665782,-0.0017472335468841083,0.002385290901483303,99.79749398810277,101.93390755536605
word_deletion,noise_aware,0.8610585323238206,0.12572577296665782,-0.0017472335468841083,0.002385290901483303,99.79749398810277,101.93390755536605
word_deletion,aggressive,0.6686808386721025,0.016966432927435805,-0.1941249271986022,-0.10637404913773871,77.50073830316838,13.75576991702574
filler,none,0.8632425742574257,0.11655003274986896,0.0004368083867209993,-0.006790449315305563,100.0506265029743,94.4945493956174
filler,minimal,0.8632425742574257,0.11655003274986896,0.0004368083867209993,-0.006790449315305563,100.0506265029743,94.4945493956174
filler,noise_aware,0.8614953407105417,0.11706404724444999,-0.001310425160162998,-0.006276434820724527,99.84812049107708,94.91129374911313
filler,aggressive,0.6735585323238207,0.01764620942978986,-0.189247233546884,-0.10569427263538467,78.06606758638148,14.306908108617089
mixed,none,0.8519583576004659,0.11193158820315574,-0.010847408270238779,-0.011408893862018779,98.74277517613804,90.7500816674365
mixed,minimal,0.8519583576004659,0.11193158820315574,-0.010847408270238779,-0.011408893862018779,98.74277517613804,90.7500816674365
mixed,noise_aware,0.8734711706464764,0.11528007131754377,0.010665404775771714,-0.008060410747630753,101.23613044762267,93.46491061760928
mixed,aggressive,0.6691176470588236,0.01915799962260757,-0.19368811881188108,-0.10418248244256695,77.5513648061427,15.532612895484116
