noise_condition,pooled_roc_auc,pooled_average_precision,predicted_positives,precision,recall,f1,roc_auc_delta_vs_clean,ap_delta_vs_clean,roc_auc_retention_pct,ap_retention_pct
clean,0.8628057658707047,0.12334048206517452,0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
casing,0.8628057658707047,0.12334048206517452,0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
punctuation,0.8628057658707047,0.12334048206517452,0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
whitespace,0.8669918462434478,0.14320066559415068,0,0.0,0.0,0.0,0.004186080372743151,0.019860183528976158,100.48517065350377,116.10191819947792
typo,0.8531231799650553,0.11946877949056404,0,0.0,0.0,0.0,-0.00968258590564941,-0.003871702574610475,98.87777918406952,96.86096364325492
word_deletion,0.8610585323238206,0.12572577296665782,0,0.0,0.0,0.0,-0.0017472335468841083,0.002385290901483303,99.79749398810277,101.93390755536605
filler,0.8632425742574257,0.11655003274986896,0,0.0,0.0,0.0,0.0004368083867209993,-0.006790449315305563,100.0506265029743,94.4945493956174
mixed,0.8519583576004659,0.11193158820315574,0,0.0,0.0,0.0,-0.010847408270238779,-0.011408893862018779,98.74277517613804,90.7500816674365
